Model,Paliwo,Typ nadwozia,Przebieg,Kolor,Poj. silnika,Skrzynia biegów,Kraj pochodzenia,Moc silnika,Napęd,Kierownica,Cena,Województwo,Rodzaj ogłoszenia,Producent,Czy cena do negocjacji,Roczny przebieg,Wiek
XC 60,Benzyna,SUV,258487,Inny kolor,2953.0,Automatyczna,Niemcy,286.0,4x4 (dołączany automatycznie),po lewej,44000.0,Łódzkie,Prywatne,Volvo,True,14898.386167147051,17
Multivan,Diesel,Minibus,115000,Czarny,1999.0,Automatyczna,Polska,204.0,Na przednie koła,po lewej,199999.0,Śląskie,Firmowe,Volkswagen,False,13772.455089820509,8
Ram,Benzyna,Pickup,158256,Szary,3600.0,Automatyczna,Stany Zjednoczone,310.0,4x4 (dołączany ręcznie),po lewej,99700.0,Śląskie,Prywatne,Dodge,True,36380.68965517318,4
A6,Diesel,Sedan,354268,Inny kolor,1968.0,Automatyczna,Polska,190.0,Na przednie koła,po prawej,59900.0,Mazowieckie,Prywatne,Audi,False,34228.7922705317,10
C Klasa,Diesel,Kombi,424000,Srebrny,2148.0,Automatyczna,Polska,105.0,Na tylne koła,po lewej,8000.0,Pomorskie,Prywatne,Mercedes-Benz,True,19859.48477751765,21
Yaris,Benzyna,Sedan,220000,Biały,1329.0,Manualna,Polska,73.0,Na przednie koła,po lewej,20900.0,Małopolskie,Prywatne,Toyota,True,16479.40074906378,13
500,Benzyna,Hatchback,39500,Czarny,999.0,Manualna,Austria,70.0,Brak danych,po prawej,39000.0,Lubuskie,Prywatne,Fiat,True,7383.177570093583,5
407,LPG,Sedan,240000,Czarny,1997.0,Manualna,Polska,136.0,Na przednie koła,po lewej,6000.0,Zachodniopomorskie,Prywatne,Peugeot,False,11241.217798594897,21
Punto 2012,Benzyna,Hatchback,115000,Szary,1200.0,Manualna,Polska,69.0,Na przednie koła,po lewej,22000.0,Zachodniopomorskie,Prywatne,Fiat,True,11111.11111111121,10
C Klasa,Diesel,Kombi,424106,Czarny,2143.0,Automatyczna,Niemcy,170.0,Na tylne koła,po lewej,14900.0,Mazowieckie,Prywatne,Mercedes-Benz,True,29554.4250871082,14
